calories_burned
238.8
741.6
505.3
433.6
302.2
379.6
553.9
300.4
290.0
449.6
231.5
454.1
410.2
466.0
198.3
151.1
91.8
137.3
439.9
121.0
96.5
219.5
96.3
97.1
205.8
134.4
821.1
179.2
664.8
390.3
167.0
463.0
186.5
398.5
711.1
223.4
185.4
531.5
276.3
128.5
108.8
474.2
707.3
331.9
276.9
148.6
270.6
193.9
136.1
213.6
198.8
110.3
207.3
130.9
505.0
317.9
106.1
359.3
78.2
100.7
540.8
367.3
116.3
215.2
185.3
363.8
205.5
444.3
574.0
193.3
407.8
343.4
1021.9
124.9
429.0
305.6
991.0
650.7
212.3
241.3
362.2
149.3
212.6
161.4
492.0
233.8
104.9
146.1
88.1
135.0
769.1
357.1
186.0
356.9
167.9
455.5
389.7
216.9
203.1
160.3
224.1
247.5
253.3
434.8
606.4
90.4
250.9
743.2
130.7
387.5
388.2
206.7
139.9
319.1
71.5
96.6
334.9
597.8
410.8
135.0
456.3
1154.2
188.4
246.4
323.6
170.3
227.6
288.1
558.7
164.0
376.4
316.6
134.2
443.2
162.5
527.5
366.2
85.9
673.1
778.3
201.0
457.5
228.9
210.2
518.2
359.2
236.2
335.5
197.3
64.9
403.3
350.0
473.3
149.3
176.0
120.6
264.7
285.8
486.2
619.6
573.6
518.4
288.4
373.3
410.4
374.0
463.1
207.5
103.7
391.0
275.2
197.0
390.2
125.4
438.2
278.3
219.7
178.5
265.1
92.0
180.8
479.8
181.1
118.1
527.3
269.8
689.7
166.5
310.3
651.8
118.8
304.0
149.1
778.8
162.6
696.4
314.7
453.8
382.2
196.1
322.7
659.4
606.7
519.9
178.1
279.1
169.3
81.7
239.5
276.8
173.8
215.2
328.6
509.7
237.1
119.1
838.2
159.0
796.8
1152.0
73.0
110.4
138.5
178.7
693.4
519.4
317.0
177.0
191.1
171.1
448.2
489.3
217.6
448.0
506.6
293.4
97.7
239.1
844.9
793.3
127.7
576.3
390.7
130.7
483.8
99.5
194.2
334.5
557.1
273.5
227.9
440.6
413.7
896.5
711.0
268.1
653.7
476.1
465.6
184.1
147.7
453.4
279.2
390.0
495.5
683.0
276.5
217.9
155.6
322.4
301.0
642.8
115.2
888.4
421.4
189.2
188.8
651.3
198.0
278.2
216.2
216.3
293.2
669.6
425.6
224.0
167.3
423.3
288.9
268.8
239.0
527.0
327.5
524.6
266.8
337.3
236.7
856.8
121.2
589.8
87.5
548.5
210.7
375.6
104.2
273.7
211.5
238.3
209.7
340.3
298.2
629.6
199.4
411.8
142.2
891.2
402.6
217.1
576.6
997.0
196.3
447.4
267.5
670.8
1063.8
145.9
452.8
92.0
330.9
545.9
380.6
349.6
54.8
484.9
116.8
348.9
420.5
120.3
113.5
195.8
664.7
136.2
527.1
211.4
224.6
352.9
140.4
308.2
210.1
240.0
343.3
468.1
108.6
137.7
548.0
422.4
231.2
533.0
398.5
368.7
255.7
1173.1
740.3
429.2
448.7
413.7
907.5
665.9
364.0
218.3
137.9
301.9
102.9
241.8
172.5
190.8
544.0
114.4
136.6
171.1
236.1
245.7
788.1
305.5
1066.1
769.9
560.7
166.1
263.2
367.5
622.0
228.2
112.7
376.2
462.8
297.6
422.7
449.2
291.5
276.0
135.5
261.2
496.3
542.5
145.5
149.0
328.1
903.9
175.5
232.9
464.5
194.6
88.7
498.6
653.3
102.3
232.5
131.3
182.9
218.0
113.9
296.3
297.5
752.6
144.9
178.7
583.9
599.8
154.5
722.7
745.7
289.0
284.5
288.9
625.9
365.2
322.0
142.7
144.4
